episode,reward,loss
0,0.0,23.222427368164062
1,-3.0,3.744903564453125
2,-2.0,9.253311157226562
3,-4.0,42.40193176269531
4,3.0,655.3849487304688
5,-2.0,-41.84259796142578
6,-4.0,142.5172882080078
7,-4.0,64.38911437988281
8,1.0,118.73019409179688
9,1.0,551.8764038085938
10,1.0,147.61990356445312
11,-1.0,5.298311233520508
12,-4.0,53.624393463134766
13,6.0,1054.550048828125
14,7.0,1630.3468017578125
15,3.0,227.6942138671875
16,-1.0,-20.462997436523438
17,3.0,400.0819091796875
18,2.0,342.1281433105469
19,2.0,734.6845703125
20,-4.0,111.50982666015625
21,-2.0,73.37620544433594
22,3.0,224.5574188232422
23,-3.0,-52.08818054199219
24,2.0,287.97802734375
25,0.0,100.25071716308594
26,0.0,73.32159423828125
27,5.0,361.269775390625
28,-5.0,343.9758605957031
29,0.0,72.62017822265625
30,-3.0,103.5207290649414
31,-1.0,109.83311462402344
32,6.0,523.4420166015625
33,-8.0,352.0407409667969
34,5.0,567.9837036132812
35,0.0,22.979087829589844
36,-2.0,2.074787139892578
37,0.0,156.41763305664062
38,-4.0,279.50970458984375
39,5.0,459.14874267578125
40,-5.0,139.6591796875
41,2.0,167.15863037109375
42,-2.0,70.43855285644531
43,-6.0,157.675048828125
44,4.0,234.52102661132812
45,4.0,477.2200012207031
46,-3.0,29.14781951904297
47,2.0,109.29409790039062
48,-6.0,150.46826171875
49,2.0,224.0233154296875
50,0.0,123.21410369873047
51,-1.0,112.44741821289062
52,-1.0,49.695735931396484
53,6.0,738.30712890625
54,-3.0,425.69976806640625
55,0.0,241.73211669921875
56,5.0,471.68304443359375
57,-3.0,13.574508666992188
58,3.0,427.1078796386719
59,-1.0,-46.22534942626953
60,5.0,780.862060546875
61,0.0,95.09701538085938
62,3.0,343.2539367675781
63,6.0,931.605224609375
64,2.0,134.02581787109375
65,4.0,554.5646362304688
66,7.0,1015.38330078125
67,-8.0,351.00567626953125
68,12.0,1761.1448974609375
69,1.0,100.95581817626953
70,7.0,799.8504638671875
71,2.0,286.7216491699219
72,-7.0,172.0467529296875
73,-1.0,-6.170967102050781
74,4.0,330.78955078125
75,-7.0,199.04562377929688
76,-2.0,136.53680419921875
77,-1.0,-11.36474609375
78,0.0,9.266117095947266
79,1.0,76.74625396728516
80,-1.0,47.237457275390625
81,-4.0,58.244659423828125
82,-3.0,10.774276733398438
83,6.0,753.0392456054688
84,8.0,2048.9912109375
85,4.0,232.85958862304688
86,-3.0,-21.98382568359375
87,-7.0,131.77462768554688
88,2.0,326.916259765625
89,2.0,135.24423217773438
90,4.0,267.04595947265625
91,-9.0,763.8768310546875
92,4.0,933.215087890625
93,5.0,373.31317138671875
94,-2.0,113.7572021484375
95,1.0,40.496280670166016
96,0.0,82.48159790039062
97,3.0,135.95555114746094
98,1.0,125.0662612915039
99,-2.0,-33.5723876953125
100,3.0,202.2053680419922
101,-2.0,247.20823669433594
102,-7.0,413.336669921875
103,-1.0,28.589717864990234
104,0.0,27.391681671142578
105,1.0,231.90127563476562
106,-1.0,-25.64031219482422
107,1.0,16.14482879638672
108,1.0,379.48504638671875
109,1.0,82.02706909179688
110,2.0,360.4951171875
111,11.0,1404.6878662109375
112,-4.0,6.634498596191406
113,-3.0,-5.7453155517578125
114,1.0,548.76220703125
115,-3.0,-41.51280975341797
116,-2.0,52.43291473388672
117,-2.0,12.823989868164062
118,-5.0,18.945648193359375
119,0.0,166.32302856445312
120,3.0,497.990478515625
121,-2.0,14.718231201171875
122,-1.0,-0.025295257568359375
123,2.0,245.2705841064453
124,5.0,484.7049560546875
125,-1.0,57.507972717285156
126,-5.0,225.12701416015625
127,3.0,429.47393798828125
128,6.0,1033.3359375
129,1.0,155.6271514892578
130,0.0,85.02256774902344
131,3.0,317.69281005859375
132,-5.0,74.40765380859375
133,-1.0,201.1007843017578
134,-7.0,184.24880981445312
135,6.0,1208.974609375
136,0.0,6.23797607421875
137,3.0,262.0619812011719
138,-5.0,120.78373718261719
139,-4.0,2.003509521484375
140,-1.0,177.60324096679688
141,1.0,447.0079345703125
142,-6.0,234.8304443359375
143,5.0,530.6658935546875
144,-1.0,-10.938301086425781
145,-8.0,289.1476135253906
146,-2.0,160.73927307128906
147,-2.0,14.139312744140625
148,2.0,217.06996154785156
149,-5.0,194.41552734375
150,-2.0,-10.274429321289062
151,-4.0,65.61710357666016
152,0.0,48.060089111328125
153,3.0,241.1895294189453
154,5.0,282.07891845703125
155,0.0,-15.231765747070312
156,-5.0,71.42498779296875
157,-2.0,195.8342742919922
158,1.0,100.91807556152344
159,6.0,641.3356323242188
160,-7.0,108.2530517578125
161,4.0,448.8923034667969
162,-5.0,10.281539916992188
163,-6.0,56.748565673828125
164,1.0,66.9298095703125
165,-2.0,97.39801025390625
166,-1.0,4.7702178955078125
167,1.0,32.5032958984375
168,4.0,508.3839111328125
169,4.0,356.66607666015625
170,-1.0,115.20587158203125
171,1.0,95.7760009765625
172,6.0,979.07421875
173,2.0,220.84774780273438
174,-2.0,286.78173828125
175,6.0,1007.8807983398438
176,2.0,539.0946655273438
177,-5.0,162.52841186523438
178,-4.0,-14.546401977539062
179,-9.0,262.8619689941406
180,5.0,841.6543579101562
181,3.0,156.03750610351562
182,1.0,335.53564453125
183,-5.0,-0.225006103515625
184,4.0,388.5970458984375
185,5.0,1077.4388427734375
186,-3.0,-27.145973205566406
187,2.0,204.18832397460938
188,-4.0,6.218376159667969
189,-4.0,227.73678588867188
190,-4.0,56.102508544921875
191,-2.0,139.46202087402344
192,2.0,112.45760345458984
193,-1.0,71.7529296875
194,-5.0,130.69924926757812
195,3.0,315.5004577636719
196,-1.0,175.74581909179688
197,-5.0,37.460540771484375
198,-5.0,13.128952026367188
